"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"428",0.35,"Rank averaging",7,0,0,68.2679971489665,7.98330107911255,85.7142857142857,20.2030508910442,67.986301369863,8.46590858571291
"470",0.35,"Rank averaging",7,0,2,68.0974834146609,7.27848166565944,85.7142857142857,20.2030508910442,67.810502283105,7.74588661217593
"56",0.65,"Rank averaging",1,0,0,86.7141838916607,5.8060371484455,72.8571428571429,18.1827458019398,86.9337899543379,6.22189391482409
"1942",0.45,"Rank averaging",7,3,0,78.1731454575361,3.90790961914601,78.5714285714286,30.3045763365663,78.2534246575343,4.60103727484397
"1984",0.45,"Rank averaging",7,3,2,78.169855803498,3.43958076796264,78.5714285714286,30.3045763365663,78.2488584474886,4.12317515787772
"1290",0.4,"Rank averaging",4,2,2,71.3926202094413,4.98336014330385,82.8571428571429,4.04061017820884,71.162100456621,4.94328987213061
"1858",0.45,"Rank averaging",5,3,2,77.320576786008,0.383812551880409,78.5714285714286,30.3045763365663,77.3744292237443,1.00092740715903
"1499",0.35,"Rank averaging",0,3,0,77.3139974779319,0.552845150486327,78.5714285714286,30.3045763365663,77.365296803653,0.0452031732265427
"1732",0.45,"Rank averaging",3,3,2,80.3042929985197,0.894011863268923,75.7142857142857,6.06091526731326,80.4155251141553,1.05904577273601
"218",0.35,"Rank averaging",3,0,2,69.7565656011843,7.77007188362343,82.8571428571429,4.04061017820884,69.5,7.77817459305202
"1184",0.35,"Rank averaging",3,2,0,69.7466966390701,6.36508533007332,82.8571428571429,4.04061017820884,69.486301369863,6.34458824215327
"50",0.35,"Rank averaging",1,0,0,54.6872087285487,7.32422902032801,92.8571428571429,10.1015254455221,53.9566210045662,7.48112516899192
"55",0.6,"Rank averaging",1,0,0,83.4058884807281,5.38423103082338,72.8571428571429,18.1827458019398,83.5593607305936,5.80860775961004
"1247",0.35,"Rank averaging",4,2,0,68.7532211195789,6.35112851000495,82.8571428571429,4.04061017820884,68.472602739726,6.32521545362761
"1354",0.45,"Rank averaging",5,2,2,78.9961072427216,3.21704702576127,75.7142857142857,6.06091526731326,79.0867579908676,3.42252597286639
"1291",0.45,"Rank averaging",4,2,2,78.9928175886836,2.7487181745779,75.7142857142857,6.06091526731326,79.0821917808219,2.94466385590014
"281",0.35,"Rank averaging",4,0,2,68.4253522671199,6.81480508783219,82.8571428571429,4.04061017820884,68.1392694063927,6.79661997441864
"1983",0.4,"Rank averaging",7,3,2,74.2025330336093,4.32041119005586,78.5714285714286,30.3045763365663,74.203196347032,5.00140823770758
"344",0.35,"Rank averaging",5,0,2,67.9302593343933,7.04199110338969,82.8571428571429,4.04061017820884,67.634703196347,7.02586463863894
"1164",0.4,"Rank averaging",2,2,2,78.169855803498,3.43958076796264,75.7142857142857,6.06091526731326,78.2442922374429,3.64531304091147
"1941",0.4,"Rank averaging",7,3,0,73.7041504468447,4.07926835442998,78.5714285714286,30.3045763365663,73.6940639269406,4.75279078496164
"1543",0.45,"Rank averaging",0,3,2,83.4453643291847,0.235715183377056,71.4285714285714,40.4061017820884,83.7945205479452,1.12362173448821
"1689",0.4,"Rank averaging",3,3,0,76.8189045452053,0.325659134928837,75.7142857142857,6.06091526731326,76.8561643835616,0.203414279519422
"1185",0.4,"Rank averaging",3,2,0,76.5140632710127,3.416319401182,75.7142857142857,6.06091526731326,76.5547945205479,3.61302506003537
"54",0.55,"Rank averaging",1,0,0,79.1271451285706,1.69807977498606,72.8571428571429,18.1827458019398,79.203196347032,2.06965957415789
"219",0.4,"Rank averaging",3,0,2,74.379626075991,5.96188830587572,75.7142857142857,6.06091526731326,74.3835616438356,6.19929232821083
"158",0.5,"Rank averaging",2,0,2,84.6290915072098,3.76446452399878,68.5714285714286,16.1624407128354,85.0068493150685,4.25232708138211
"1418",0.5,"Rank averaging",6,2,2,83.7962607599101,3.05034056383341,68.5714285714286,16.1624407128354,84.1552511415525,3.51938991549468
"1355",0.5,"Rank averaging",5,2,2,83.2945885191074,2.34086887702416,68.5714285714286,16.1624407128354,83.6415525114155,2.79291034578248
"30",0.4,"Rank averaging",0,0,2,82.8027852404189,3.03638374376503,68.5714285714286,16.1624407128354,83.1415525114155,3.50001712696902
"471",0.4,"Rank averaging",7,0,2,72.2451888809694,8.50745721056944,75.7142857142857,6.06091526731326,72.2123287671233,8.78555959638628
